Name,Role,Email,Wallet Address,Reward Amount,Transaction Hash,Explorer Link,Feedback Summary
Vivaan Reddy,Learner,vivaanreddy1834@gmail.com,GC24KEOLHDJI2S4ICD5BYKP5NIPLROSIOLAES5D7MFZWYIYRH5CA3S4G,150 XLM,97414634878488b54718210a1a98cf35c7452205afa44bcb893754e05bf2f089,https://stellar.expert/explorer/testnet/tx/97414634878488b54718210a1a98cf35c7452205afa44bcb893754e05bf2f089,Allow saving draft submissions
Shaurya Patel,Learner,shauryapatel419@gmail.com,GCANYTJRC337HAPWNC2PKSSPEJYFVKNSUNSCVLGOEMIOLFBC2HCLLZL2,40 XLM,29fe50ea9c76cfe6b9080b4b4a0302fa46ebf3378a76d544d1def8a4a105509b,https://stellar.expert/explorer/testnet/tx/29fe50ea9c76cfe6b9080b4b4a0302fa46ebf3378a76d544d1def8a4a105509b,A way to message mentors directly
Sneha Rao,Learner,sneharao4516@gmail.com,GD45AKYNUNQPLVY2GREURWQTIUFA3PPZGO4TCUIIATOPYXCMJS6EC5W4,350 XLM,a55bd8104768a46ad7ea900d8a3a8d3a8bd20bd4c15dd2b4ed135860ceebfb60,https://stellar.expert/explorer/testnet/tx/a55bd8104768a46ad7ea900d8a3a8d3a8bd20bd4c15dd2b4ed135860ceebfb60,Add a progress bar for challenge completion
Anjali Iyer,Learner,anjaliiyer4022@gmail.com,GCVSFXQW3BUUGV2QAX5CPIIWDAXAANCXL6NAQ46ZUPQWOURH2OGIYLRC,80 XLM,e0a0e7f0fe25d5ccd47908ac841084447e093e3b02ca16c964e8e22dd8c928f9,https://stellar.expert/explorer/testnet/tx/e0a0e7f0fe25d5ccd47908ac841084447e093e3b02ca16c964e8e22dd8c928f9,Allow filtering challenges by difficulty
Vikram Singh,Learner,vikramsingh3667@gmail.com,GAJTDUXOQV5CNNO3KO7AGWCD5SMLHJZQJVKW2N4R6GIL7YIHTYG6DA3E,200 XLM,184687f4351756954445b4656ef1cbc7ade7db000b5572a93743099d1797173d,https://stellar.expert/explorer/testnet/tx/184687f4351756954445b4656ef1cbc7ade7db000b5572a93743099d1797173d,Add a leaderboard for top earners
Rahul Shah,Learner,rahulshah2296@gmail.com,GA4CMTD7VOE2N4PW22FHAWNNJPQS766RKEJMDUVWTUEOFTQPJQQ3HCUV,120 XLM,09de1ca893583be71e8db5a14b95a0985ebfd41ffe2f57d85ce12239ea73aae4,https://stellar.expert/explorer/testnet/tx/09de1ca893583be71e8db5a14b95a0985ebfd41ffe2f57d85ce12239ea73aae4,Show estimated network fees upfront
Karan Pillai,Learner,karanpillai1689@gmail.com,GCV6B524BDB67F65EHH5URY5G6E72WQ5I5ZASMU5IFBRNHT7OXVEEIJB,50 XLM,61a74191cefc647acbdd7ee60270f8ace8089c714a612ef32ea41a0d1d3ce10e,https://stellar.expert/explorer/testnet/tx/61a74191cefc647acbdd7ee60270f8ace8089c714a612ef32ea41a0d1d3ce10e,Include more onboarding tooltips
Pooja Pillai,Learner,poojapillai8945@gmail.com,GBQS3HZETLJQR3TSEXX3I4R2D5XRELMAZZVGC6O5JZM3BGPQMWGHCVOX,250 XLM,ca6dd06934fb0d4ea81aac59add5c728b0990129f6d2ea377f64f164c1b566f0,https://stellar.expert/explorer/testnet/tx/ca6dd06934fb0d4ea81aac59add5c728b0990129f6d2ea377f64f164c1b566f0,Detailed transaction history page
Arjun Banerjee,Learner,arjunbanerjee1434@gmail.com,GC755JZASQBVF3QMCFWX5XUF57JXESJ3JOOB2JJQN3EAM2KQ6BG5BGUD,100 XLM,130679db1f10e9e743e1a8906899b4b4203a12fb718cb774b0ab89bfa388d607,https://stellar.expert/explorer/testnet/tx/130679db1f10e9e743e1a8906899b4b4203a12fb718cb774b0ab89bfa388d607,More notifications (maybe email alerts?)
Rohan Kulkarni,Learner,rohankulkarni9684@gmail.com,GAWBKWZXLRXY3HZQFAXQN5YUX32T36P67ZJCYF2RF4T57AGOXNU2H76R,180 XLM,41d93c987416f85ebc2cc9701189d7faf9191f504fa0eff576134f309e650cbc,https://stellar.expert/explorer/testnet/tx/41d93c987416f85ebc2cc9701189d7faf9191f504fa0eff576134f309e650cbc,Add support for multiple languages
Swati Verma,Learner,swativerma6922@gmail.com,GBJA3ATUF37FKBUP7IK2DTB7KTW5PGRC5VSB2LNF2V63P4PVYNYEN5MV,90 XLM,a3a734809f729b843ecadbd85d40943aa71f0378f331cea1bd3d1d7c90f63ee8,https://stellar.expert/explorer/testnet/tx/a3a734809f729b843ecadbd85d40943aa71f0378f331cea1bd3d1d7c90f63ee8,More challenges from different domains
